ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,reserved,region,runnerup_candidate,runnerup_party,runnerup_votes,margin,total_votes,winner_vote_share
1,Gummidipundi,GOVINDARAJAN T.J,DMK,126452,78.08,GEN,Chennai Metro,PRAKASH M,PMK,75514,50938,222069,56.94266196542516
2,Ponneri,DURAI. CHANDRASEKAR,INC,94528,78.2,SC,Chennai Metro,BALARAMAN. P,AIADMK,84839,9689,210354,44.9375814103844
3,Tiruttani,S.Chandran,DMK,120314,78.76,GEN,Chennai Metro,G.Hari,AIADMK,91061,29253,232624,51.72037279042575
4,Thiruvallur,"RAAJENDRAN, V.G.",DMK,107709,77.2,GEN,Chennai Metro,"RAMANAH, BE VEE",AIADMK,85008,22701,214243,50.274221328118074
5,Poonamallee,Krishnaswamy A,DMK,149578,72.99,SC,Chennai Metro,Rajamannar S X,PMK,55468,94110,263736,56.71504838171505
6,Avadi,Nasar S M,DMK,150287,67.37,GEN,Chennai Metro,Pandiarajan K,AIADMK,95012,55275,300927,49.941347901650566
7,Maduravoyal,GANAPATHY.K,DMK,121298,60.3,GEN,Chennai Metro,BENJAMIN.P,AIADMK,89577,31721,273870,44.29035673859861
8,Ambattur,JOSEPH SAMUEL,DMK,114554,62.01,GEN,Chennai Metro,V ALEXANDER,AIADMK,72408,42146,240299,47.67144266101815
9,Madavaram,SUDHARSANAM. S,DMK,151485,66.37,GEN,Chennai Metro,Moorthy. V,AIADMK,94414,57071,302700,50.04459861248761
10,Thiruvottiyur,K.P.SHANKAR,DMK,88185,65.15,GEN,Chennai Metro,K.KUPPAN,AIADMK,50524,37661,199996,44.093381867637355
11,Dr. Radhakrishnan Nagar,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,70.98,GEN,Chennai Metro,RAAJESH.R.S.,AIADMK,53284,42479,187027,51.2027675148508
12,Perambur,SHEKAR. R.D,DMK,105267,63.0,GEN,Chennai Metro,DHANAPALAN N.R,AIADMK,50291,54976,200387,52.53185086856932
13,Kolathur,M.K. STALIN,DMK,105522,61.04,GEN,Chennai Metro,AADIRAJARAM,AIADMK,35138,70384,173388,60.85888296767943
14,Villivakkam,A . Vetriazhagan,DMK,76127,55.92,GEN,Chennai Metro,J.C.D.Prabhakar,AIADMK,38890,37237,144092,52.832218304971825
15,Thiru-Vi-Ka-Nagar,SIVAKUMAR.P,DMK,81727,60.62,SC,Chennai Metro,KALYANI.P.L,AIADMK,26714,55013,133696,61.12897917663954
16,Egmore,I.PARANTHAMEN,DMK,68832,61.13,SC,Chennai Metro,B.JOHN PANDIAN,AIADMK,30064,38768,119271,57.71059184546118
17,Royapuram,MURTHY.R.IDREAM,DMK,64424,62.6,GEN,Chennai Metro,JAYAKUMAR.D,AIADMK,36645,27779,121191,53.15906296672195
18,Harbour,SEKARBABU. P.K,DMK,59317,57.64,GEN,Chennai Metro,VINOJ. P. SELVAM,BJP,32043,27274,101650,58.3541564190851
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,93285,58.33,GEN,Chennai Metro,KASSALI A.V.A,PMK,23930,69355,137405,67.89054255667553
20,Thousand Lights,EZHILAN N,DMK,71867,56.25,GEN,Chennai Metro,KUSHBOO SUNDAR,BJP,39405,32462,135940,52.86670589966162
21,Anna Nagar,M.K. Mohan,DMK,80054,57.33,GEN,Chennai Metro,S. Gokula Indira,AIADMK,52609,27445,165096,48.489363764113
22,Virugampakkam,AMV.PRABHAKARA RAJA,DMK,74351,57.59,GEN,Chennai Metro,VIRUGAI V.N.RAVI,AIADMK,55984,18367,169087,43.97203806324555
23,Saidapet,SUBRAMANIAN. MA,DMK,80194,57.36,GEN,Chennai Metro,SAIDAI DURAISAMY,AIADMK,50786,29408,160327,50.01902362047566
24,Theayagaraya Nagar,KARUNANITHI J,DMK,56035,55.99,GEN,Chennai Metro,SATHIYANAARAYANAN B,AIADMK,55898,137,138114,40.57155682986519
25,Mylapore,VELU.DHA,DMK,68392,56.6,GEN,Chennai Metro,NATARAJ.R,AIADMK,55759,12633,153430,44.57537639314345
26,Velachery,JMH.AASSAN MAULAANA,INC,68493,56.18,GEN,Chennai Metro,M.K.ASHOK,AIADMK,64141,4352,176714,38.75923809092659
27,Shozhinganallur,S.ARAVINDRAMESH,DMK,171558,55.51,GEN,Chennai Metro,K.P.KANDAN,AIADMK,136153,35405,388355,44.17556102020059
28,Alandur,T.M.Anbarasan,DMK,116785,60.82,GEN,Chennai Metro,B.Valarmathi,AIADMK,76214,40571,237751,49.12071873514728
29,Sriperumbudur,SELVAPERUNTHAGAI,INC,115353,73.94,SC,Chennai Metro,PALANI,AIADMK,104474,10879,264262,43.65099787332269
30,Pallavaram,KARUNANITHI,DMK,126427,60.86,GEN,Chennai Metro,RAJENDRAN,AIADMK,88646,37781,266194,47.49430866210358
31,Tambaram,Raja.S.R,DMK,116840,59.55,GEN,Chennai Metro,Chinnaiyah.T.K.M,AIADMK,80016,36824,248968,46.929725908550495
32,Chengalpattu,VARALAKSHMI.M,DMK,130573,63.54,GEN,Chennai Metro,GAJENDRAN.M,AIADMK,103908,26665,274087,47.639253229813896
33,Thiruporur,S.S.Balaji,VCK,93954,76.36,GEN,North,Arumugam.K,PMK,92007,1947,226729,41.4388984205814
34,Cheyyur,Babu M,VCK,82750,77.88,SC,North,Kanitha S,AIADMK,78708,4042,179120,46.19807949977668
35,Maduranthakam,Maragatham. K,AIADMK,86646,80.65,SC,North,Sathya. C.E,DMK,83076,3570,185842,46.62347585583453
36,Uthiramerur,SUNDAR K,DMK,93427,80.1,GEN,North,SOMASUNDARAM V,AIADMK,91805,1622,210529,44.37725918994533
37,Kancheepuram,C.V.M.P. Ezhailzrasan,DMK,102712,73.28,GEN,North,P. Magesh Kumar,PMK,91117,11595,229432,44.767948673245236
38,Arakonam,S.RAVI,AIADMK,85399,74.89,SC,North,GOWTHAMA SANNAH.J,VCK,58230,27169,171412,49.82089935360418
39,Sholinghur,A.M.MUNIRATHINAM,INC,110228,80.09,GEN,North,A.M.KRISHNAN,PMK,83530,26698,224109,49.184994801636705
40,Katpadi,DURAIMURUGAN,DMK,85140,74.0,GEN,North,V RAMU,AIADMK,84394,746,186246,45.71373344930898
41,Ranipet,R.GANDHI,DMK,103291,77.24,GEN,North,S.M.SUGUMAR,AIADMK,86793,16498,207462,49.78791296719399
42,Arcot,J.L.Eswarappan,DMK,103885,79.62,GEN,North,Elavazagan.K.L,PMK,83927,19958,209791,49.51833014762311
43,Vellore,Karthikeyan .P,DMK,84299,70.25,GEN,North,Appu S.R.K,AIADMK,75118,9181,179899,46.85907092312909
44,Anaikattu,A.P.Nandakumar,DMK,95159,77.05,GEN,North,D.Velazhagan,AIADMK,88799,6360,197805,48.107479588483606
45,Kilvaithinankuppam,M.JAGAN MOORTHY,AIADMK,84579,76.5,SC,North,K Seetharaman,DMK,73997,10582,174124,48.574004732259766
46,Gudiyatham,Amulu.V,DMK,100412,72.56,SC,North,Paritha.G,AIADMK,93511,6901,211630,47.446959315786984
47,Vaniayambadi,G.SENDHIL KUMAR,AIADMK,88018,75.55,GEN,North,N.MOHAMMED NAYEEM,IUML,83114,4904,189997,46.3259946209677
48,Ambur,VILWANATHAN.A.C,DMK,90476,74.01,GEN,North,NAZAR MOHAMED.K,AIADMK,70244,20232,177878,50.864075377505934
49,Jolarpet,DEVARAJI.K.,DMK,89490,80.98,GEN,North,VEERAMANI.K.C.,AIADMK,88399,1091,196358,45.57491928009045
50,Tiruppattur,A. NALLATHAMBI,DMK,96522,76.97,GEN,North,T.K. RAJA,PMK,68282,28240,185930,51.91308556983812
51,Uthangarai,T.M.TAMILSELVAM,AIADMK,99675,78.37,SC,North,S.Arumugam,INC,71288,28387,188223,52.95580242584593
52,Bargur,MATHIAZHAGAN D,DMK,97256,79.08,GEN,North,KRISHNAN A,AIADMK,84642,12614,197784,49.17283501193221
53,Krishnagiri,Ashokkumar.K,AIADMK,96050,78.5,GEN,North,SENGUTTUVAN.T,DMK,95256,794,211648,45.38195494405806
54,Veppanahalli,K.P.Munusamy,AIADMK,94104,81.31,GEN,North,P.Murugan,DMK,91050,3054,205141,45.87283868168723
55,Hosur,PRAKAASH Y,DMK,118231,70.09,GEN,North,JYOTHI S,AIADMK,105864,12367,248098,47.654958927520575
56,Thalli,RAMACHANDRAN.T,CPI,120641,77.06,GEN,North,Dr.NAGESH KUMAR.C,BJP,64415,56226,194022,62.17903124387956
57,Palacode,ANBALAGAN.K.P.,AIADMK,110070,87.37,GEN,North,MURUGAN.P.K.,DMK,81970,28100,206595,53.27815290786321
58,Pennagaram,MANI. G.K,PMK,106123,85.0,GEN,North,INBASEKARAN. P.N.P,DMK,84937,21186,210305,50.46147262309503
59,Dharmapuri,VENKATESHWARAN.S.P.,PMK,105630,79.69,GEN,North,SUBRAMANI.P,DMK,78770,26860,217333,48.602835280422205
60,Pappireddippatti,GOVINDASAMY.A,AIADMK,114507,82.15,GEN,North,PRABHURAJASEKAR.M,DMK,77564,36943,220994,51.81452890123713
61,Harur,SAMPATHKUMAR.V,AIADMK,99061,78.46,SC,North,KUMAR.A,CPI(M),68699,30362,198565,49.888449626067036
62,Chengam,GIRI.M.P,DMK,108081,80.66,SC,North,NAINAKANNU.M.S,AIADMK,96511,11570,223950,48.26121902210315
63,Tiruvannamalai,E V VELU,DMK,137876,71.69,GEN,North,S THANIGAIVEL,BJP,43203,94673,208836,66.0211840870348
64,Kilpennathur,K.Pitchandi,DMK,104675,79.35,GEN,North,K.Selvakumar,PMK,77888,26787,203886,51.339964489960074
65,Kalasapakkam,Saravanan.P.S.T,DMK,94134,80.36,GEN,North,Panneerselvam.V,AIADMK,84912,9222,196434,47.92143926204221
66,Polur,Agri KRISHNAMURTHY. S S,AIADMK,97732,82.33,GEN,North,SEKARAN. K.V,DMK,88007,9725,202012,48.379304199750514
67,Arani,S.RAMACHANDRAN,AIADMK,102961,79.84,GEN,North,S.S.ANBALAGAN,DMK,99833,3128,221422,46.49989612594955
68,Cheyyar,JOTHI. O,DMK,102460,81.69,GEN,North,DUSI. K. MOHAN,AIADMK,90189,12271,214460,47.77580900867295
69,Vandavasi,Ambethkumar S,DMK,102064,76.81,SC,North,Murali S,PMK,66111,35953,185974,54.88078978781981
70,Gingee,MASTHAN K S,DMK,109625,78.21,GEN,Central,RAJENDIRAN P,PMK,73822,35803,206880,52.989655839133796
71,Mailam,SIVAKUMAR C,PMK,81044,79.5,GEN,Central,Dr. MASILAMANI R,DMK,78814,2230,176989,45.7904163535587
72,Tindivanam,ARJUNAN P,AIADMK,87152,78.43,SC,Central,SEETHAPATHY P,DMK,77399,9753,182538,47.74457921090403
73,Vanur,CHAKRAPANI M,AIADMK,92219,79.79,SC,Central,VANNI ARASU,VCK,70492,21727,182208,50.611938004917455
74,Villupuram,LAKSHMANAN R,DMK,102271,76.97,GEN,Central,SHANMUGAM C Ve,AIADMK,87403,14868,204860,49.92238601972078
75,Vikravandi,PUGAZHENTHI N,DMK,93730,81.39,GEN,Central,MUTHAMILSELVAN R,AIADMK,84157,9573,193617,48.4100053197808
76,Tirukkoyilur,K.PONMUDY,DMK,110980,76.27,GEN,Central,VAT.KALIVARADHAN,BJP,51300,59680,196217,56.55982916872646
77,Ulundurpet,MANIKANNAN A J,DMK,115451,82.62,GEN,Central,KUMARAGURU R,AIADMK,110195,5256,244853,47.15114783155608
78,Rishivandiam,KARTHIKEYAN K,DMK,113912,80.18,GEN,Central,SANTHOSH S A,AIADMK,72184,41728,215106,52.95621693490651
79,Sankarapuram,UDHAYASURIYAN T,DMK,121186,79.58,GEN,Central,Dr.RAJA G,PMK,75223,45963,215802,56.1561060601848
80,Kallakurichi,Senthilkumar.M,AIADMK,110643,78.16,SC,Central,Manirathinem.K.I,INC,84752,25891,225858,48.98785962861621
81,Gangavalli,"NALLATHAMBI,A.",AIADMK,89568,77.11,SC,Central,"REKHA PRIYADHARSHINI,J.",DMK,82207,7361,186503,48.0249647458754
82,Attur,"JAYASANKARAN, A.P.",AIADMK,95308,77.26,SC,Central,"CHINNADURAI, K.",DMK,87051,8257,199743,47.71531417871965
83,Yercaud,G. Chitra,AIADMK,121561,83.09,ST,Central,C. TAMILSELVAN,DMK,95606,25955,238924,50.878522040481485
84,Omalur,R.MANI,AIADMK,142488,83.28,GEN,Central,RANGARAJAN MOHAN KUMARAMANGALAM,INC,87194,55294,249027,57.217892035803345
85,Mettur,SADHASIVAM.S,PMK,97055,75.01,GEN,Central,SRINIVASAPERUMAL.S,DMK,96399,656,218442,44.43055822598218
86,Edapadi,EDAPPADI PALANISWAMI. K,AIADMK,163154,85.64,GEN,Central,SAMBATHKUMAR. T,DMK,69352,93802,247301,65.97385372481308
87,Sankari,"SUNDARARAJAN, S.",AIADMK,115472,83.71,GEN,Central,"RAJESH, K.M.",DMK,95427,20045,232247,49.71947969187976
88,Salem (West),ARUL. R,PMK,105483,71.81,GEN,Central,RAJENDRAN. A,DMK,83984,21499,216628,48.6931513931717
89,Salem (North),R. RAJENDRAN,DMK,93432,72.14,GEN,Central,G.VENKATACHALAM,AIADMK,85844,7588,202376,46.16752974661027
90,Salem (South),E.BALASUBRAMANIAN,AIADMK,97506,76.0,GEN,Central,A.S.SARAVANAN,DMK,74897,22609,199982,48.757388164934845
91,Veerapandi,"RAJAMUTHU, M.",AIADMK,111682,85.64,GEN,Central,"THARUN, A.K.",DMK,91787,19895,223702,49.92445306702667
92,Rasipuram,MATHIVENTHAN M,DMK,90727,82.05,SC,Central,SAROJA V. Dr,AIADMK,88775,1952,196904,46.07676837443627
93,Sendamangalam,PONNUSAMY K,DMK,90681,80.93,ST,Central,CHANDRAN S,AIADMK,80188,10493,199235,45.51459331944688
94,Namakkal,RAMALINGAM P,DMK,106494,78.57,GEN,Central,BASKAR K.P.P.,AIADMK,78633,27861,206759,51.50634313379345
95,Paramathi-Velur,SEKAR S,AIADMK,86034,81.14,GEN,Central,MOORTHIY K S,DMK,78372,7662,183697,46.83473328361378
96,Tiruchengode,ESWARAN E R,DMK,81688,78.71,GEN,Central,SARASWATHI PON,AIADMK,78826,2862,184669,44.234820137651695
97,Kumarapalayam,THANGAMANI.P,AIADMK,100800,78.85,GEN,Central,M.VENKATACHALAM,DMK,69154,31646,201925,49.91952457595642
98,Erode (East),"THIRUMAHAN EVERAA,E.",INC,67300,66.24,GEN,Kongu,"YUVARAJA,M.",AIADMK,58396,8904,152037,44.265540624979444
99,Erode (West),Muthusamy S,DMK,100757,69.36,GEN,Kongu,Ramalingam K V,AIADMK,78668,22089,205579,49.01132897815438
100,Modakurichi,SARASWATHI.C,BJP,78125,75.26,GEN,Kongu,SUBBULAKSHMI JEGADEESAN,DMK,77844,281,181857,42.95957813006923
101,Dharapuram,KAYALVIZHI N,DMK,89986,74.15,SC,Kongu,MURUGAN L,BJP,88593,1393,193991,46.38668804222876
102,Kangayam,SAMINATHAN.M.P,DMK,94197,77.19,GEN,Kongu,RAMALINGAM.A.S,AIADMK,86866,7331,199818,47.14139867279224
103,Perundurai,"JAYAKUMAR, S.",AIADMK,85125,82.6,GEN,Kongu,KKC BALU,DMK,70618,14507,189843,44.83968331726743
104,Bhavani,KARUPPANAN.K.C,AIADMK,100915,83.5,GEN,Kongu,DURAIRAJ.K.P,DMK,78392,22523,201385,50.11048489212205
105,Anthiyur,VENKATACHALAM.A.G,DMK,79096,79.69,GEN,Kongu,SHANMUGAVEL.K.S,AIADMK,77821,1275,176385,44.84281543215126
106,Gobichettipalayam,SENGOTTAIYAN K.A,AIADMK,108608,82.52,GEN,Kongu,MANIMARAN G.V,DMK,80045,28563,214281,50.68484839999813
107,Bhavanisagar,A.Bannari,AIADMK,99181,77.37,SC,Kongu,P.L SUNDARAM,CPI,83173,16008,200567,49.45030837575474
108,Udhagamandalam,"GANESH, R.",INC,65530,67.82,GEN,Kongu,"BHOJARAJAN, M.",BJP,60182,5348,141102,46.441581267451916
109,Gudalur,PON.JAYASEELAN,AIADMK,64496,72.15,SC,Kongu,"KASILINGAM, S.",DMK,62551,1945,138257,46.64935590964653
110,Coonoor,"Ramachandran, K.",DMK,61820,69.79,GEN,Kongu,"Vinoth, D.",AIADMK,57715,4105,135908,45.486652735674134
111,Mettupalayam,SELVARAJ A K,AIADMK,105231,75.14,GEN,Kongu,SHANMUGASUNDARAM T R,DMK,102775,2456,225083,46.752087007903754
112,Avanashi,"DHANAPAL, P",AIADMK,117284,75.18,SC,Kongu,ATHIYAMAAN RAJU,DMK,66382,50902,212627,55.15950467250161
