ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,reserved,region,runnerup_candidate,runnerup_party,runnerup_votes,margin,total_votes,winner_vote_share
113,Tiruppur (North),VIJEYAKUMAR.K.N,AIADMK,113384,62.44,GEN,Kongu,RAVI (Alias) SUBRAMANIAN . M,CPI,73282,40102,238092,47.62192765821615
114,Tiruppur (South),SELVARAJ. K.,DMK,75535,62.74,GEN,Kongu,GUNASEKARAN. S.,AIADMK,70826,4709,174418,43.306883463862675
115,Palladam,ANANDAN M S M,AIADMK,126903,66.7,GEN,Kongu,MUTHURATHINAM K,DMK,94212,32691,261511,48.52683061133184
116,Sulur,KANDASAMY V.P.,AIADMK,118968,75.57,GEN,Kongu,PREMIER SELVAM (a)KALICHAMY M,DMK,87036,31932,241653,49.23092202455587
117,Kavundampalayam,G.Arunkumar,AIADMK,135669,66.13,GEN,Kongu,R.Krishnan,DMK,125893,9776,309918,43.77577294639227
118,Coimbatore North,AMMAN K.ARJUNAN,AIADMK,81454,59.21,GEN,Kongu,SHANMUGASUNDARAM V.M,DMK,77453,4001,202799,40.16489233181623
119,Thondamuthur,S.P. VELUMANI,AIADMK,124225,70.22,GEN,Kongu,KARTHIKEYA,DMK,82595,41630,230531,53.886462124399756
120,Coimbatore South,VANATHI SRINIVASAN,BJP,53209,60.69,GEN,Kongu,KAMALHAASAN,MNM,51481,1728,154765,34.380512389752205
121,Singanallur,"Jayaram, K.R",AIADMK,81244,61.73,GEN,Kongu,"Karthik, N",DMK,70390,10854,202021,40.215621148296464
122,Kinathukadavu,Damodaran.S,AIADMK,101537,70.64,GEN,Kongu,Kuruchi Prabhakaran,DMK,100442,1095,232435,43.684040699550415
123,Pollachi,Pollachi V. Jayaraman,AIADMK,80567,77.34,GEN,Kongu,"Dr. Varadharajan, K.",DMK,78842,1725,177308,45.439010084147355
124,Valparai,AMULKANDASAMI T K,AIADMK,71672,70.04,SC,Kongu,ARUMUGAM M,CPI,59449,12223,145172,49.37040200589645
125,Udumalpet,"Radhakrishnan,K.",AIADMK,96893,71.31,GEN,Kongu,"Thennarasu,K.",INC,74998,21895,194358,49.85284886652466
126,Madathukulam,C MAHENDRAN,AIADMK,84313,72.45,GEN,Kongu,R.JAYARAMAKRISHNAN,DMK,77875,6438,181902,46.3507822893646
127,Palani,SENTHIL KUMAR I.P,DMK,108566,73.33,GEN,South,RAVI MANOHARAN K,AIADMK,78510,30056,205384,52.86000856931407
128,Oddanchatram,SAKKARAPANI R,DMK,109970,83.08,GEN,South,NATARAJ N.P,AIADMK,81228,28742,201756,54.506433513749286
129,Athoor,PERIYASAMY I,DMK,165809,77.96,GEN,South,THILAGABAMA M,PMK,30238,135571,229940,72.10968078629207
130,Nilakottai,S.Thenmozhi,AIADMK,91461,75.07,SC,South,K.Murugavelrajan,DMK,63843,27618,184805,49.49054408701063
131,Natham,NATHAM.R.VISWANATHAN,AIADMK,107762,78.95,GEN,South,M.A.ANDI AMBALAM,DMK,95830,11932,225244,47.84233986254906
132,Dindigul,SREENIVASAN.C,AIADMK,90595,69.27,GEN,South,PANDI.N,CPI(M),72848,17747,195118,46.43087772527394
133,Vedasandur,GANDHIRAJAN S,DMK,106481,80.16,GEN,South,PARAMASIVAM V P B,AIADMK,88928,17553,213080,49.97231086915712
134,Aravakurichi,ELANGO. R,DMK,93369,81.92,GEN,Kongu,ANNAMALAI. K,BJP,68553,24816,177114,52.71689420373319
135,Karur,SENTHILBALAJI V,DMK,101757,83.57,GEN,Kongu,VIJAYABHASKAR. M.R,AIADMK,89309,12448,207310,49.08446288167478
136,Krishnarayapuram,SIVAGAMA SUNDARI.K,DMK,96540,84.17,SC,Kongu,MUTHUKUMAR,AIADMK,64915,31625,180902,53.36591082464539
137,Kulithalai,R.Manickam,DMK,100829,86.16,GEN,Kongu,N.R.Chandrasekar,AIADMK,77289,23540,197456,51.06403451908273
138,Manapparai,ABDUL SAMAD P,DMK,98077,76.02,GEN,Delta,CHANDRASEKAR.R,AIADMK,85834,12243,221748,44.22903476017822
139,Srirangam,Palaniyandi.M,DMK,113904,76.15,GEN,Delta,KuPa Krishnan,AIADMK,93989,19915,240240,47.41258741258741
140,Tiruchirapalli (West),"Nehru, K.N.",DMK,118133,67.01,GEN,Delta,"Padmanathan, V.",AIADMK,33024,85109,183099,64.51864838147668
141,Tiruchirapalli (East),"INIGO IRUDAYARAJ,S.",DMK,94302,66.87,GEN,Delta,"VELLAMANDI NATARAJAN,N.",AIADMK,40505,53797,172856,54.555236728837876
142,Thiruverambur,ANBIL MAHESH POYYAMOZHI,DMK,105424,66.59,GEN,Delta,P KUMAR,AIADMK,55727,49697,197013,53.51118961692883
143,Lalgudi,A.SOUNDARAPANDIAN,DMK,84914,79.23,GEN,Delta,D.R.DHARMARAJ,AIADMK,67965,16949,174754,48.59059020108267
144,Manachanallur,S. KATHIRAVAN,DMK,116334,79.63,GEN,Delta,M. PARANJOTHI,AIADMK,56716,59618,196719,59.137144861452114
145,Musiri,N. Thiyagarajan,DMK,90624,75.98,GEN,Delta,M. Selvarasu,AIADMK,63788,26836,179706,50.42903408901205
146,Thuraiyur,S.STALINKUMAR,DMK,87786,76.63,SC,Delta,T.INDRAGANDHI,AIADMK,65715,22071,175876,49.913575473629145
147,Perambalur,"PRABHAHARAN, M.",DMK,122090,78.2,SC,Central,"THAMIZHSELVAN, R.",AIADMK,91056,31034,240026,50.86532292334998
148,Kunnam,"SIVASANKAR, S.S.",DMK,103922,80.05,GEN,Central,"RAMACHANDRAN, R.T.",AIADMK,97593,6329,219879,47.26326752441115
149,Ariyalur,CHINNAPPA K,DMK,103975,84.54,GEN,Central,RAJENDRAN S,AIADMK,100741,3234,225225,46.164946164946166
150,Jayankondam,KANNAN KA SO KA,DMK,99529,80.38,GEN,Central,BALU K,PMK,94077,5452,216368,45.99987059084523
151,Tittakudi,"GANESAN,  C.V.",DMK,83726,76.3,SC,Central,"PERIYASAMY,  D.",BJP,62163,21563,168184,49.78238120154117
152,Vriddhachalam,Radhakrishnan,INC,77064,77.02,GEN,Central,Karthikeyan. J,PMK,76202,862,196734,39.17167342706395
153,Neyveli,SABA.RAJENDRAN,DMK,75177,74.25,GEN,Central,JAGAN.K,PMK,74200,977,164130,45.80332663132882
154,Panruti,VELMURUGAN.T,DMK,93801,79.6,GEN,Central,RAJENDRAN.R,AIADMK,89104,4697,197049,47.602880501804115
155,Cuddalore,G.IYAPPAN,DMK,84563,74.77,GEN,Central,M.C.SAMPATH,AIADMK,79412,5151,182001,46.462931522354275
156,Kurinjipadi,M.R.K.PANNEERSELVAM,DMK,101456,82.06,GEN,Central,SELVI RAMAJAYAM,AIADMK,83929,17527,198781,51.03908321217823
157,Bhuvanagiri,Arunmozhithevan. A,AIADMK,96453,78.57,GEN,Central,Saravanan. Durai.K,DMK,88194,8259,197165,48.919940151649634
158,Chidambaram,K.A. PANDIAN,AIADMK,91961,71.93,GEN,Central,S. ABDUL RAHMAN,IUML,75024,16937,183352,50.15543871896679
159,Kattumannarkoil,SINTHANAI SELVAN,VCK,86056,75.87,SC,Central,N. MURUGUMARAN,AIADMK,75491,10565,175561,49.01772033652121
160,Sirkali,PANNEERSELVAM,DMK,94057,74.91,SC,Delta,P.V.BHARATHI,AIADMK,81909,12148,191325,49.16085195348229
161,Mayiladuthurai,Rajakumar.S,INC,73642,70.14,GEN,Delta,Palanisamy.A,PMK,70900,2742,174640,42.16788822721026
162,Poompuhar,Nivedha M. Murugan,DMK,96102,75.19,GEN,Delta,S.Pavunraj,AIADMK,92803,3299,207838,46.23889760294075
163,Nagapattinam,J. Mohamed Shanavas,VCK,66281,71.97,GEN,Delta,Thanka.kathiravan,AIADMK,59043,7238,143560,46.169545834494286
164,Kilvelur,NAGAIMAALI V P,CPI(M),67988,79.43,SC,Delta,VADIVEL RAVANAN  S,PMK,51003,16985,142995,47.545718381761596
165,Vedaranyam,O.S.MANIAN,AIADMK,78719,80.6,GEN,Delta,S.K.VETHARATHINAM,DMK,66390,12329,158060,49.80323927622422
166,Thiruthuraipundi,MARIMUTHU K,CPI,97092,76.74,SC,Delta,SURESH KUMAR C,AIADMK,67024,30068,185886,52.23201316936187
167,Mannargudi,RAJAA T R B,DMK,87172,74.34,GEN,Delta,RAJAMANICKAM  SIVA,AIADMK,49779,37393,193229,45.11331114894762
168,Thiruvarur,KALAIVANAN  POONDI  K.,DMK,108906,73.25,GEN,Delta,PANNERSELVAM A.N.R.,AIADMK,57732,51174,208290,52.28575543713092
169,Nannilam,KAMARAJ R,AIADMK,103637,81.08,GEN,Delta,JOTHIRAMAN  S,DMK,99213,4424,221944,46.69511228057528
170,Thiruvidamarudur,"CHEZHIAAN,  GOVI.",DMK,95763,75.76,SC,Delta,"UNION VEERAMANI, S.",AIADMK,85083,10680,198446,48.25645263698941
171,Kumbakonam,"ANBALAGAN, G.",DMK,96057,71.45,GEN,Delta,"SRITHAR VANDAYAR, G.M.",AIADMK,74674,21383,197564,48.620700127553604
172,Papanasam,"Dr.JAWAHIRULLAH, M.H.",DMK,86567,74.76,GEN,Delta,"GOPINATHAN, K.",AIADMK,70294,16273,196982,43.94665502431695
173,Thiruvaiyaru,DURAI.CHANDRASEKARAN,DMK,103210,78.11,GEN,Delta,"VENKATESAN, S.",BJP,49560,53650,211430,48.81521070803576
174,Thanjavur,"NEELAMEGAM, T.K.G.",DMK,103772,65.72,GEN,Delta,"ARIVUDAINAMBI, V.",AIADMK,56623,47149,194859,53.25491765840942
175,Orathanad,"VAITHILINGAM, R.",AIADMK,90063,78.29,GEN,Delta,"RAMCHANDRAN, M.",DMK,61228,28835,191840,46.94693494578816
176,Pattukkottai,"ANNADURAI, K.",DMK,79065,71.66,GEN,Delta,"RENGARAJAN, N.R.",AIADMK,53796,25269,177200,44.61907449209932
177,Peravurani,"ASHOKKUMAR, N.",DMK,89130,77.02,GEN,Delta,"THIRUGNANASAMBANDAM, S.V.",AIADMK,65627,23503,170850,52.16856892010535
178,Gandharvakottai,M.Chinnadurai,CPI(M),69710,74.45,SC,Delta,S.Jayabharathi,AIADMK,56989,12721,157620,44.22662098718437
179,Viralimalai,VIJAYA BASKER C,AIADMK,102179,85.43,GEN,Delta,PALANIAPPAN,DMK,78581,23598,193423,52.82670623452227
180,Pudukkottai,V . MUTHURAJA,DMK,85802,72.94,GEN,Delta,KARTHIK THONDAIMAN,AIADMK,72801,13001,179892,47.69639561514686
181,Thirumayam,S.REGUPATHY,DMK,71349,75.85,GEN,Delta,P.K.VAIRAMUTHU,AIADMK,69967,1382,174031,40.99786819589613
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,87935,78.47,GEN,Delta,DHARMA THANGAVEL,AIADMK,62088,25847,171842,51.172006843495765
183,Arantangi,RAMACHANDRAN T,INC,81835,70.21,GEN,Delta,RAJANAYAGAM M,AIADMK,50942,30893,168048,48.69739598210035
184,Karaikudi,S.Mangudi,INC,75954,66.23,GEN,South,H.Raja,BJP,54365,21589,212456,35.750461271981024
185,Tiruppattur,KR.PERIYAKARUPPAN,DMK,103682,71.98,GEN,South,MARUDHU ALAGURAJ,AIADMK,66308,37374,210766,49.192943833445625
